name,year,committee,region,cleanedName,cleanedRegion,Continent
ZalÃ¡n Heszberger,2018,Organizing,"BME, Hungary",Zalan Heszberger,"BME, Hungary",EU
Michael Schapira,2018,Organizing,"HUJI, Israel",Michael Schapira,"HUJI, Israel",AS
Stefan Schmid,2018,Organizing,"Univie, Austria",Stefan Schmid,"Univie, Austria",EU
Joseph Tardo,2018,Organizing,"tardo, USA",Joseph Tardo,"tardo, USA",NorAm
Christina Vlachou,2018,Organizing,"HPE, USA",Christina Vlachou,"HPE, USA",NorAm
Antonio Fernandez Anta,2018,Organizing,"IMDEA, Spain",Antonio Fernandez Anta,"IMDEA, Spain",EU
Jasleen Kaur,2018,Organizing,"UNC, USA",Jasleen Kaur,"UNC, USA",NorAm
Ignacio Castro,2018,Organizing,"QMUL, UK",Ignacio Castro,"QMUL, UK",EU
Pin-Han Ho,2018,Organizing,"UWaterloo, Canada",Pin-Han Ho,"UWaterloo, Canada",NorAm
Henry Xu,2018,Organizing,"CityU, China",Henry Xu,"CityU, China",AS
Bruce Maggs,2018,Organizing,"Duke and Akamai, USA",Bruce Maggs,"Duke and Akamai, USA",NorAm
Justine Sherry,2018,Organizing,"CMU, USA",Justine Sherry,"CMU, USA",NorAm
Steve Uhlig,2018,Organizing,"QMUL, UK",Steve Uhlig,"QMUL, UK",EU
Jianping Wu,2019,Organizing,"Tsinghua University, China",Jianping Wu,"Tsinghua University, China",AS
Wendy Hall,2019,Organizing,"University of Southampton, UK",Wendy Hall,"University of Southampton, UK",EU
Yong Cui,2019,Organizing,"Tsinghua University, China",Yong Cui,"Tsinghua University, China",AS
Xiangyang Li,2019,Organizing,"USTC, China",Xiangyang Li,"USTC, China",AS
Katerina Argyraki,2019,Organizing,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",EU
John Heidemann,2019,Organizing,"USC/ISI, USA",John Heidemann,"USC/ISI, USA",NorAm
Ashutosh Sabharwal,2019,Organizing,"Rice University, USA",Ashutosh Sabharwal,"Rice University, USA",NorAm
Lixin Gao,2019,Organizing,"UMass, USA",Lixin Gao,"UMass, USA",NorAm
Srinivasan Keshav,2019,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",NorAm
Lixia Zhang,2019,Organizing,"UCLA, USA",Lixia Zhang,"UCLA, USA",NorAm
Xiaoming Fu,2019,Organizing,"University of Goettingen, Germany",Xiaoming Fu,"University of Goettingen, Germany",EU
Zhili Zhang,2019,Organizing,"University of Minnesota, USA",Zhili Zhang,"University of Minnesota, USA",NorAm
Gaogang Xie,2019,Organizing,"ICT, China",Gaogang Xie,"ICT, China",AS
Kai Chen,2019,Organizing,"HKUST, China",Kai Chen,"HKUST, China",AS
JÃ¶rg Ott,2019,Organizing,"Technical University of Munich, Germany",Jaorg Ott,"Technical University of Munich, Germany",EU
Ming Zhang,2019,Organizing,"Alibaba, USA",Ming Zhang,"Alibaba, USA",NorAm
K. K. Ramakrishnan,2019,Organizing,"UC Riverside, USA",K. K. Ramakrishnan,"UC Riverside, USA",NorAm
Mingwei Xu,2019,Organizing,"Tsinghua University, China",Mingwei Xu,"Tsinghua University, China",AS
Wei Bai,2019,Organizing,"Microsoft Research, Redmond",Wei Bai,"Microsoft Research, Redmond",NorAm
Wenfei Wu,2019,Organizing,"Tsinghua University, China",Wenfei Wu,"Tsinghua University, China",AS
Xia Yin,2019,Organizing,"Tsinghua University, China",Xia Yin,"Tsinghua University, China",AS
Xiaochun Yun,2019,Organizing,"CNCERT, China",Xiaochun Yun,"CNCERT, China",AS
Deke Guo,2019,Organizing,"NUDT, China",Deke Guo,"NUDT, China",AS
Chenren Xu,2019,Organizing,"Peking University, China",Chenren Xu,"Peking University, China",AS
Ke Xu,2019,Organizing,"Tsinghua University, China",Ke Xu,"Tsinghua University, China",AS
Xiuzhen Cheng,2019,Organizing,"The George Washington University, USA",Xiuzhen Cheng,"The George Washington University, USA",NorAm
Paolo Costa,2019,Organizing,"Microsoft Research, UK",Paolo Costa,"Microsoft Research, UK",EU
Yanyong Zhang,2019,Organizing,"USTC, China",Yanyong Zhang,"USTC, China",AS
Lan Wang,2019,Organizing,"University of Memphis, USA",Lan Wang,"University of Memphis, USA",NorAm
Hongqiang Liu,2019,Organizing,"Alibaba, USA",Hongqiang Liu,"Alibaba, USA",NorAm
Hongbin Luo,2019,Organizing,"BUAA, China",Hongbin Luo,"BUAA, China",AS
Sheng Zhong,2019,Organizing,"Nanjing University, China",Sheng Zhong,"Nanjing University, China",AS
Yongqiang Xiong,2019,Organizing,"Microsoft Research, China",Yongqiang Xiong,"Microsoft Research, China",AS
Keith Winstein,2019,Organizing,"Stanford University, USA",Keith Winstein,"Stanford University, USA",NorAm
Xin Jin,2019,Organizing,"Johns Hopkins University, USA",Xin Jin,"Johns Hopkins University, USA",NorAm
Lili Qiu,2019,Organizing,"UT Austin, USA",Lili Qiu,"UT Austin, USA",NorAm
Huadong Ma,2019,Organizing,"BUPT, China",Huadong Ma,"BUPT, China",AS
Dan Wang,2019,Organizing,"Hong Kong Polytechnic University, China",Dan Wang,"Hong Kong Polytechnic University, China",AS
Timothy Wood,2019,Organizing,"The George Washington University, USA",Timothy Wood,"The George Washington University, USA",NorAm
Junzhou Luo,2019,Organizing,"Southeast University, China",Junzhou Luo,"Southeast University, China",AS
Kui Ren,2019,Organizing,"Zhejiang University, China",Kui Ren,"Zhejiang University, China",AS
Kun Tan,2019,Organizing,"Huawei, China",Kun Tan,"Huawei, China",AS
Jiangchuan Liu,2019,Organizing,"Simon Fraser University, Canada",Jiangchuan Liu,"Simon Fraser University, Canada",NorAm
Steve Uhlig,2019,Organizing,"University of London, UK",Steve Uhlig,"University of London, UK",EU
Vishal Misra,2020,Organizing,Columbia University,Vishal Misra,Columbia University,NorAm
Henning Schulzrinne,2020,Organizing,Columbia University,Henning Schulzrinne,Columbia University,NorAm
Sujata Banerjee,2020,Organizing,VMware Research,Sujata Banerjee,VMware Research,
Ratul Mahajan,2020,Organizing,"University of Washington, Intentionet",Ratul Mahajan,"University of Washington, Intentionet",NorAm
Laurent Vanbever,2020,Organizing,ETH Zurich,Laurent Vanbever,ETH Zurich,EU
Stefano Vissicchio,2020,Organizing,University College London,Stefano Vissicchio,University College London,EU
Manya Ghobadi,2020,Organizing,MIT,Manya Ghobadi,MIT,NorAm
Michael Schapira,2020,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,AS
Ihsan Ayyub Qazi,2020,Organizing,LUMS,Ihsan Ayyub Qazi,LUMS,AS
Rachit Agarwal,2020,Organizing,Cornell University,Rachit Agarwal,Cornell University,NorAm
Jia Wang,2020,Organizing,AT&T Research Labs,Jia Wang,AT&T Research Labs,
Ying Zhang,2020,Organizing,Facebook,Ying Zhang,Facebook,
Fred Jiang,2020,Organizing,Columbia University,Fred Jiang,Columbia University,NorAm
Yong Liu,2020,Organizing,NYU,Yong Liu,NYU,NorAm
Srinivas Narayana,2020,Organizing,Rutgers University,Srinivas Narayana,Rutgers University,NorAm
Anees Shaikh,2020,Organizing,Google,Anees Shaikh,Google,
Ethan Katz-Bassett,2020,Organizing,Columbia University,Ethan Katz-Bassett,Columbia University,NorAm
Aruna Balasubramanian,2020,Organizing,Stony Brook University,Aruna Balasubramanian,Stony Brook University,NorAm
Ravi Netravali,2020,Organizing,University of California at Los Angeles,Ravi Netravali,University of California at Los Angeles,NorAm
Richard Ma,2020,Organizing,NUS,Richard Ma,NUS,AS
Aurojit Panda,2020,Organizing,NYU,Aurojit Panda,NYU,NorAm
Mina Tashmabi Arashloo,2020,Organizing,Cornell University,Mina Tashmabi Arashloo,Cornell University,NorAm
Arpit Gupta,2020,Organizing,UCSB,Arpit Gupta,UCSB,NorAm
Gautam Kumar,2020,Organizing,Google,Gautam Kumar,Google,
Matthew Caesar,2020,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,NorAm
Fernando Kuipers,2021,Organizing,Delft University of Technology,Fernando Kuipers,Delft University of Technology,
Matthew Caesar,2021,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,NorAm
Aditya Akella,2021,Organizing,University of WisconsinâMadison,Aditya Akella,University of WisconsinâMadison,
Nandita Dukkipati,2021,Organizing,Google,Nandita Dukkipati,Google,
JÃ¶rg Ott,2021,Organizing,Technische UniversitÃ¤t MÃ¼nchen,Jaorg Ott,Technische UniversitÃ¤t MÃ¼nchen,
Zhi-Li Zhang,2021,Organizing,University of Minnesota,Zhi-Li Zhang,University of Minnesota,NorAm
Danny Raz,2021,Organizing,Technion & Google,Danny Raz,Technion & Google,
Yang Chen,2021,Organizing,Fudan University,Yang Chen,Fudan University,
Gabor Retvari,2021,Organizing,Budapest University of Technology and Economics,Gabor Retvari,Budapest University of Technology and Economics,
Aaron Ding,2021,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,
Ram Durairajan,2021,Organizing,University of Oregon,Ram Durairajan,University of Oregon,NorAm
Dave Choffnes,2021,Organizing,Northeastern University,Dave Choffnes,Northeastern University,NorAm
Athina Markopoulou,2021,Organizing,UC Irvine,Athina Markopoulou,UC Irvine,NorAm
Marco Chiesa,2021,Organizing,KTH Royal Institute of Technology,Marco Chiesa,KTH Royal Institute of Technology,
Marinho Barcellos,2021,Organizing,University of Waikato,Marinho Barcellos,University of Waikato,OC
Pan Hui,2021,Organizing,Hong Kong University of Science and Technology,Pan Hui,Hong Kong University of Science and Technology,
Ellen Zegura,2021,Organizing,Georgia Tech,Ellen Zegura,Georgia Tech,NorAm
Tilman Wolf,2021,Organizing,University of Massachusetts Amherst,Tilman Wolf,University of Massachusetts Amherst,NorAm
Michael Schapira,2021,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,AS
Christian Doerr,2021,Organizing,University of Potsdam,Christian Doerr,University of Potsdam,EU
Roland van Rijswijk-Deij,2021,Organizing,University of Twente,Roland van Rijswijk-Deij,University of Twente,EU
Pedro Casas,2021,Organizing,Austrian Institute of Technology,Pedro Casas,Austrian Institute of Technology,
Christian Esteve Rothenberg,2021,Organizing,University of Campinas,Christian Esteve Rothenberg,University of Campinas,SA
Chenren Xu,2021,Organizing,Peking University,Chenren Xu,Peking University,
"Taejoong ""Tijay"" Chung",2021,Organizing,Virginia Tech,"Taejoong ""Tijay"" Chung",Virginia Tech,NorAm
Qing Wang,2021,Organizing,Delft University of Technology,Qing Wang,Delft University of Technology,
Paola Grosso,2021,Organizing,University of Amsterdam,Paola Grosso,University of Amsterdam,EU
Karin Anna Hummel,2021,Organizing,Johannes Kepler University Linz,Karin Anna Hummel,Johannes Kepler University Linz,
Andra Lutu,2021,Organizing,Telefonica Research,Andra Lutu,Telefonica Research,
Hamed Haddadi,2021,Organizing,Imperial College London,Hamed Haddadi,Imperial College London,EU
Dave Levin,2021,Organizing,University of Maryland,Dave Levin,University of Maryland,NorAm
Fernando Kuipers,2022,Organizing,Delft University of Technology,Fernando Kuipers,Delft University of Technology,
Ariel Orda,2022,Organizing,Technion Israel Institute of Technology,Ariel Orda,Technion Israel Institute of Technology,
Brighten Godfrey,2022,Organizing,University of Illinois at Urbana-Champaign,Brighten Godfrey,University of Illinois at Urbana-Champaign,NorAm
Bruce Maggs,2022,Organizing,Duke University and Emerald Innovations,Bruce Maggs,Duke University and Emerald Innovations,NorAm
Sergey Gorinsky,2022,Organizing,IMDEA Networks Institute,Sergey Gorinsky,IMDEA Networks Institute,
Anat Bremler-Barr,2022,Organizing,Reichman University,Anat Bremler-Barr,Reichman University,
Zhi-Li Zhang,2022,Organizing,University of Minnesota,Zhi-Li Zhang,University of Minnesota,NorAm
Yang Chen,2022,Organizing,Fudan University,Yang Chen,Fudan University,
Gabor Retvari,2022,Organizing,Budapest University of Technology and Economics & Ericsson Research,Gabor Retvari,Budapest University of Technology and Economics & Ericsson Research,
Danny Raz,2022,Organizing,Technion Israel Institute of Technology,Danny Raz,Technion Israel Institute of Technology,
Alex Sprintson,2022,Organizing,Texas A&M University,Alex Sprintson,Texas A&M University,NorAm
Ignacio Castro,2022,Organizing,Queen Mary University of London,Ignacio Castro,Queen Mary University of London,EU
Gareth Tyson,2022,Organizing,Hong Kong University of Science and Technology,Gareth Tyson,Hong Kong University of Science and Technology,
Marco Chiesa,2022,Organizing,KTH Royal Institute of Technology,Marco Chiesa,KTH Royal Institute of Technology,
Karin Anna Hummel,2022,Organizing,Johannes Kepler University Linz,Karin Anna Hummel,Johannes Kepler University Linz,
Tilman Wolf,2022,Organizing,University of Massachusetts Amherst,Tilman Wolf,University of Massachusetts Amherst,NorAm
Michael Schapira,2022,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,AS
Qing Wang,2022,Organizing,Delft University of Technology,Qing Wang,Delft University of Technology,
Andra Lutu,2022,Organizing,Telefonica Research,Andra Lutu,Telefonica Research,
Matthew Caesar,2022,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,NorAm
Pan Hui,2022,Organizing,Hong Kong University of Science and Technology,Pan Hui,Hong Kong University of Science and Technology,
Aaron Ding,2022,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,
Pedro Casas,2022,Organizing,AIT Austrian Institute of Technology,Pedro Casas,AIT Austrian Institute of Technology,
Christian Esteve Rothenberg,2022,Organizing,University of Campinas,Christian Esteve Rothenberg,University of Campinas,SA
Fernando Ramos,2022,Organizing,University of Lisbon,Fernando Ramos,University of Lisbon,EU
"Taejoong ""Tijay"" Chung",2022,Organizing,Virginia Tech,"Taejoong ""Tijay"" Chung",Virginia Tech,NorAm
Lin Wang,2022,Organizing,Vrije Universiteit Amsterdam,Lin Wang,Vrije Universiteit Amsterdam,EU
Paola Grosso,2022,Organizing,University of Amsterdam,Paola Grosso,University of Amsterdam,EU
Yiting Xia,2022,Organizing,Max Planck Institute for Informatics,Yiting Xia,Max Planck Institute for Informatics,
Mina Tahmasbi Arashloo,2022,Organizing,University of Waterloo,Mina Tahmasbi Arashloo,University of Waterloo,NorAm
Chen Qian,2022,Organizing,University of California Santa Cruz,Chen Qian,University of California Santa Cruz,NorAm
Jasleen Kaur,2022,Organizing,University of North Carolina at Chapel Hill,Jasleen Kaur,University of North Carolina at Chapel Hill,
Vishal Misra,2023,Organizing,Columbia University,Vishal Misra,Columbia University,NorAm
Henning Schulzrinne,2023,Organizing,Columbia University,Henning Schulzrinne,Columbia University,NorAm
Eddie Kohler,2023,Organizing,Harvard University,Eddie Kohler,Harvard University,NorAm
David Maltz,2023,Organizing,Microsoft,David Maltz,Microsoft,
Lin Wang,2023,Organizing,Vrije Universiteit Amsterdam,Lin Wang,Vrije Universiteit Amsterdam,EU
Emmanouil Vasilomanolakis,2023,Organizing,Technical University of Denmark,Emmanouil Vasilomanolakis,Technical University of Denmark,EU
Dan Rubenstein,2023,Organizing,Columbia University,Dan Rubenstein,Columbia University,NorAm
Aaron Ding,2023,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,
Kostis Kaffes,2023,Organizing,Stanford University,Kostis Kaffes,Stanford University,NorAm
Timothy Wood,2023,Organizing,George Washington University,Timothy Wood,George Washington University,NorAm
Sangeetha Abdu Jyothi,2023,Organizing,"University of California, Irvine",Sangeetha Abdu Jyothi,"University of California, Irvine",NorAm
Ethan Katz-Bassett,2023,Organizing,Columbia University,Ethan Katz-Bassett,Columbia University,NorAm
Todd Arnold,2023,Organizing,U.S. Military Academy at West Point,Todd Arnold,U.S. Military Academy at West Point,NorAm
Matt Calder,2023,Organizing,Columbia University & Meta,Matt Calder,Columbia University & Meta,NorAm
Xiaofan (Fred) Jiang,2023,Organizing,Columbia University,Xiaofan (Fred) Jiang,Columbia University,NorAm
Joerg Ott,2023,Organizing,TU Munich,Joerg Ott,TU Munich,EU
Minmei Wang,2023,Organizing,University of Connecticut,Minmei Wang,University of Connecticut,NorAm
Zihui Ge,2023,Organizing,AT&T Research,Zihui Ge,AT&T Research,
Jia Wang,2023,Organizing,AT&T Labs,Jia Wang,AT&T Labs,
Maria Apostolaki,2023,Organizing,Princeton University,Maria Apostolaki,Princeton University,NorAm
Vishal Shrivastav,2023,Organizing,Purdue University,Vishal Shrivastav,Purdue University,NorAm
Lachlan Andrew,2023,Organizing,University of Melbourne,Lachlan Andrew,University of Melbourne,OC
Xia Zhou,2023,Organizing,Columbia University,Xia Zhou,Columbia University,NorAm
Tianbai Ma,2023,Organizing,NUS (Singapore),Tianbai Ma,NUS (Singapore),AS
Feng Qian,2023,Organizing,University of Minnesota,Feng Qian,University of Minnesota,NorAm
Dina Papagiannaki,2009,Program,"Intel Research, USA",Dina Papagiannaki,"Intel Research, USA",NorAm
Luigi Rizzo,2009,Program,"Universit� di Pisa, Italy",Luigi Rizzo,"Universit di Pisa, Italy",EU
David Andersen,2009,Program,"Carnegie Mellon University, USA",David Andersen,"Carnegie Mellon University, USA",NorAm
Suman Banerjee,2009,Program,"University of Wisconsin, Madison, USA",Suman Banerjee,"University of Wisconsin, Madison, USA",NorAm
Ranjita Bhagwan,2009,Program,Microsoft Research India,Ranjita Bhagwan,Microsoft Research India,AS
Augustin Chaintreau,2009,Program,"Thomson, France",Augustin Chaintreau,"Thomson, France",EU
Ranveer Chandra,2009,Program,"Microsoft Research, USA",Ranveer Chandra,"Microsoft Research, USA",NorAm
Dah Ming Chiu,2009,Program,"The Chinese University of Hong Kong, China",Dah Ming Chiu,"The Chinese University of Hong Kong, China",AS
Kenjiro Cho,2009,Program,"IIJ, Japan",Kenjiro Cho,"IIJ, Japan",AS
Chen-Nee Chuah,2009,Program,"UC Davis, USA",Chen-Nee Chuah,"UC Davis, USA",NorAm
Jon Crowcroft,2009,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",EU
Saumitra Das,2009,Program,"Qualcomm Inc., USA",Saumitra Das,"Qualcomm Inc., USA",NorAm
Christophe Diot,2009,Program,"Thomson, France",Christophe Diot,"Thomson, France",EU
Anja Feldmann,2009,Program,"Deutsche Telekom Laboratories / TU-Berlin, Germany",Anja Feldmann,"Deutsche Telekom Laboratories / TU-Berlin, Germany",EU
Roch Guerin,2009,Program,"University of Pennsylvania, USA",Roch Guerin,"University of Pennsylvania, USA",NorAm
Krishna Gummadi,2009,Program,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",EU
Per Gunningberg,2009,Program,"Uppsala University, Sweden",Per Gunningberg,"Uppsala University, Sweden",EU
Gianluca Iannaccone,2009,Program,"Intel Research Berkeley, USA",Gianluca Iannaccone,"Intel Research Berkeley, USA",NorAm
Kyle Jamieson,2009,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",EU
Thomas Karagiannis,2009,Program,"Microsoft Research, UK",Thomas Karagiannis,"Microsoft Research, UK",EU
Brad Karp,2009,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Dina Katabi,2009,Program,"MIT, USA",Dina Katabi,"MIT, USA",NorAm
S Keshav,2009,Program,"University of Waterloo, Canada",S Keshav,"University of Waterloo, Canada",NorAm
Eddie Kohler,2009,Program,"Meraki, Inc. / UCLA, USA",Eddie Kohler,"Meraki, Inc. / UCLA, USA",NorAm
Dmitri Krioukov,2009,Program,"CAIDA/UCSD San Diego, USA",Dmitri Krioukov,"CAIDA/UCSD San Diego, USA",NorAm
Sam Leffler,2009,Program,Google,Sam Leffler,Google,NorAm
Ratul Mahajan,2009,Program,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",NorAm
David Malone,2009,Program,"Hamilton Institute, NUI Maynooth, Ireland",David Malone,"Hamilton Institute, NUI Maynooth, Ireland",EU
David Maltz,2009,Program,"Microsoft Research, USA",David Maltz,"Microsoft Research, USA",NorAm
Morley Mao,2009,Program,"University of Michigan, USA",Morley Mao,"University of Michigan, USA",NorAm
Laurent Mathy,2009,Program,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",EU
David Mazieres,2009,Program,"Stanford, USA",David Mazieres,"Stanford, USA",NorAm
Marco Mellia,2009,Program,"Politecnico di Torino, Italy",Marco Mellia,"Politecnico di Torino, Italy",EU
Michael Mitzenmacher,2009,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",NorAm
Refik Molva,2009,Program,"EURECOM, France",Refik Molva,"EURECOM, France",EU
Vivek Pai,2009,Program,"Princeton University, USA",Vivek Pai,"Princeton University, USA",NorAm
Christos Papadopoulos,2009,Program,"Colorado State University, USA",Christos Papadopoulos,"Colorado State University, USA",NorAm
Craig Partridge,2009,Program,"BBN Technologies, USA",Craig Partridge,"BBN Technologies, USA",NorAm
Himabindu Pucha,2009,Program,"IBM Research, Almaden, USA",Himabindu Pucha,"IBM Research, Almaden, USA",NorAm
Lili Qiu,2009,Program,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",NorAm
Bhaskaran Raman,2009,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",AS
Jen Rexford,2009,Program,"Princeton University, USA",Jen Rexford,"Princeton University, USA",NorAm
Pablo Rodriguez,2009,Program,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",EU
Matthew Roughan,2009,Program,"University of Adelaide, Australia",Matthew Roughan,"University of Adelaide, Australia",OC
Stefan Saroiu,2009,Program,"Microsoft Research<, USA/td>",Stefan Saroiu,"Microsoft Research<, USA/td>",NorAm
Alex Snoeren,2009,Program,"UC San Diego, USA",Alex Snoeren,"UC San Diego, USA",NorAm
Giovanni Stea,2009,Program,"University of Pisa, Italy",Giovanni Stea,"University of Pisa, Italy",EU
Peter Steenkiste,2009,Program,"Carnegie Mellon University, USA",Peter Steenkiste,"Carnegie Mellon University, USA",NorAm
Karthikeyan Sundaresan,2009,Program,"NEC Laboratories America, USA",Karthikeyan Sundaresan,"NEC Laboratories America, USA",NorAm
Nina Taft,2009,Program,"Intel Research Berkeley, USA",Nina Taft,"Intel Research Berkeley, USA",NorAm
Leandros Tassiulas,2009,Program,"University of Thessaly, Greece",Leandros Tassiulas,"University of Thessaly, Greece",EU
Renata Teixeira,2009,Program,"CNRS and UPMC, France",Renata Teixeira,"CNRS and UPMC, France",EU
Patrick Thiran,2009,Program,"EPFL, Switzerland",Patrick Thiran,"EPFL, Switzerland",EU
Jon Turner,2009,Program,"Washington University, USA",Jon Turner,"Washington University, USA",NorAm
Darryl Veitch,2009,Program,"University of Melbourne, Australia",Darryl Veitch,"University of Melbourne, Australia",OC
Jia Wang,2009,Program,"AT&T Labs - Research, USA",Jia Wang,"AT&T Labs - Research, USA",NorAm
Xiaowei Yang,2009,Program,"Duke University, USA",Xiaowei Yang,"Duke University, USA",NorAm
Amgad Zeitoun,2009,Program,"Google, Inc., USA",Amgad Zeitoun,"Google, Inc., USA",NorAm
Yin Zhang,2009,Program,"University of Texas at Austin, USA",Yin Zhang,"University of Texas at Austin, USA",NorAm
Zhi-Li Zhang,2009,Program,"University of Minnesota, USA",Zhi-Li Zhang,"University of Minnesota, USA",NorAm
K.K. Ramakrishnan,2010,Program,"AT&T Labs - Research, USA",K.K. Ramakrishnan,"AT&T Labs - Research, USA",NorAm
Geoffrey M. Voelker,2010,Program,"U.C. San Diego, USA",Geoffrey M. Voelker,"U.C. San Diego, USA",NorAm
Kevin Almeroth,2010,Program,"U.C. Santa Barbara, USA",Kevin Almeroth,"U.C. Santa Barbara, USA",NorAm
Ramon Caceres,2010,Program,"AT&T Labs - Research, USA",Ramon Caceres,"AT&T Labs - Research, USA",NorAm
Augustin Chaintreau,2010,Program,"Thomson, France",Augustin Chaintreau,"Thomson, France",EU
Reuven Cohen,2010,Program,"Technion, Israel",Reuven Cohen,"Technion, Israel",AS
Bruce Davie,2010,Program,"Cisco, USA",Bruce Davie,"Cisco, USA",NorAm
Cristian Estan,2010,Program,"NetLogic Microsystem, USA",Cristian Estan,"NetLogic Microsystem, USA",NorAm
Ramesh Govindan,2010,Program,"University of Southern California, USA",Ramesh Govindan,"University of Southern California, USA",NorAm
Timothy G. Griffin,2010,Program,"University of Cambridge, UK",Timothy G. Griffin,"University of Cambridge, UK",EU
Chuanxiong Guo,2010,Program,"Microsoft Research Asia, China",Chuanxiong Guo,"Microsoft Research Asia, China",AS
Mark Handley,2010,Program,"University College London, UK",Mark Handley,"University College London, UK",EU
Kyle Jamieson,2010,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",EU
Kevin Jeffay,2010,Program,"University of North Carolina, USA",Kevin Jeffay,"University of North Carolina, USA",NorAm
S. Keshav,2010,Program,"University of Waterloo, Canada",S. Keshav,"University of Waterloo, Canada",NorAm
Murali Kodialam,2010,Program,"Bell Labs, USA",Murali Kodialam,"Bell Labs, USA",NorAm
Arvind Krishnamurthy,2010,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",NorAm
Srikanth Krishnamurthy,2010,Program,"U.C. Riverside, USA",Srikanth Krishnamurthy,"U.C. Riverside, USA",NorAm
Joy Kuri,2010,Program,"Indian Institute of Science, India",Joy Kuri,"Indian Institute of Science, India",AS
Jinyang Li,2010,Program,"NYU, USA",Jinyang Li,"NYU, USA",NorAm
Michael Mitzenmacher,2010,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",NorAm
Jeff Mogul,2010,Program,"HP Labs, USA",Jeff Mogul,"HP Labs, USA",NorAm
Sue Moon,2010,Program,"KAIST, Korea",Sue Moon,"KAIST, Korea",AS
Robert Morris,2010,Program,"MIT, USA",Robert Morris,"MIT, USA",NorAm
Cristina Nita-Rotaru,2010,Program,"Purdue University, USA",Cristina Nita-Rotaru,"Purdue University, USA",NorAm
David Oran,2010,Program,Unknown,David Oran,Unknown,NorAm
Jitendra Padhye,2010,Program,"Microsoft Research Redmond, USA",Jitendra Padhye,"Microsoft Research Redmond, USA",NorAm
Balaji Prabhakar,2010,Program,"Stanford University, USA",Balaji Prabhakar,"Stanford University, USA",NorAm
Niels Provos,2010,Program,"Google, USA",Niels Provos,"Google, USA",NorAm
Bhaskaran Raman,2010,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",AS
Ram Ramjee,2010,Program,"Microsoft Research, India",Ram Ramjee,"Microsoft Research, India",AS
Jennifer Rexford,2010,Program,"Princeton University, USA",Jennifer Rexford,"Princeton University, USA",NorAm
Pablo Rodriguez,2010,Program,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",EU
Matthew Roughan,2010,Program,"University of Adelaide, Australia",Matthew Roughan,"University of Adelaide, Australia",OC
Antony Rowstron,2010,Program,"Microsoft Research Cambridge, UK",Antony Rowstron,"Microsoft Research Cambridge, UK",EU
Srinivasan Seshan,2010,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",NorAm
Aman Shaikh,2010,Program,"AT&T Labs - Research, USA",Aman Shaikh,"AT&T Labs - Research, USA",NorAm
Prashant Shenoy,2010,Program,"Univ. of Massachusetts Amherst, USA",Prashant Shenoy,"Univ. of Massachusetts Amherst, USA",NorAm
Emin G�n Sirer,2010,Program,"Cornell University, USA",Emin Gn Sirer,"Cornell University, USA",NorAm
Neil Spring,2010,Program,"University of Maryland, USA",Neil Spring,"University of Maryland, USA",NorAm
Renata Teixeira,2010,Program,"LIP6 / CNRS, France",Renata Teixeira,"LIP6 / CNRS, France",EU
Patrick Thiran,2010,Program,"EPFL, Switzerland",Patrick Thiran,"EPFL, Switzerland",EU
Don Towsley,2010,Program,"University of Massachusetts Amherst, USA",Don Towsley,"University of Massachusetts Amherst, USA",NorAm
Jon Turner,2010,Program,"Washington University, USA",Jon Turner,"Washington University, USA",NorAm
Amin Vahdat,2010,Program,"U.C. San Diego, USA",Amin Vahdat,"U.C. San Diego, USA",NorAm
